genome	module	desc	find	need	completeness
A2O.91	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	5	5	100
AO.23	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	4	5	80
A2O.33	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	3	5	60
A2O.141	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	3	5	60
A2O.119	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	5	5	100
AO.3	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	4	5	80
A2O.68	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	5	5	100
AO.29	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	5	5	100
A2O.22	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	4	5	80
A2O.15	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	4	5	80
AO.59	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	3	5	60
A2O.2	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	4	5	80
AO.41	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	5	5	100
A2O.145	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	5	5	100
A2O.34	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	5	5	100
A2O.155	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	3	5	60
AO.8	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	3	5	60
A2O.152	M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	5	5	100
A2O.1	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
AO.75	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.129	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.72	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.138	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.116	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.95	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.39	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.97	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.43	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.62	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.52	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.131	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.62	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.76	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.83	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.98	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.85	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
AO.52	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.79	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.7	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.3	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.126	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.93	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.76	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.30	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.113	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.81	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
AO.85	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.114	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.16	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
AO.50	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.84	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.122	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.44	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.59	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.88	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
AO.32	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.11	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.43	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.97	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.32	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.17	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.94	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
AO.58	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.87	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.10	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.9	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.14	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.22	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.133	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.25	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.99	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.117	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.71	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.38	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.128	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.27	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.88	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.86	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.92	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.56	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.120	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
AO.66	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.27	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
AO.94	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.103	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.54	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.146	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.70	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.124	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
AO.46	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.28	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.21	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.45	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.72	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.108	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.102	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.60	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.92	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.36	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.34	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.64	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.73	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.148	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.30	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.156	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.2	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
AO.51	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.91	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.71	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.20	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.151	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.51	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.130	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
AO.79	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.78	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.1	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.89	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.112	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.69	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.75	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.107	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.140	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.136	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
AO.63	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.9	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.61	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.35	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.77	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.26	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.134	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.153	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.106	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.39	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.57	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.82	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.111	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.101	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
AO.24	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.4	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.87	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.6	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.53	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.5	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.109	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.121	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.68	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.47	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.69	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.21	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.125	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.24	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.49	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.6	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.123	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.132	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.48	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
AO.65	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.29	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.55	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.84	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.37	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.19	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.86	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
AO.11	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.31	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.58	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.15	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.8	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.28	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.90	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.50	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.95	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.49	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.42	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.13	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.40	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.46	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.67	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.57	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.54	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.115	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.13	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.158	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.65	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.41	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.38	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.77	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.12	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.20	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.147	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.56	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.40	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.74	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.127	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.78	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.35	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.12	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
AO.33	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.5	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.67	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
AO.82	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.42	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
AO.53	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.157	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.66	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.17	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
AO.36	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.37	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.18	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	8	9	88.89
A2O.91	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
AO.23	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	6	9	66.67
A2O.33	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.141	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.119	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.3	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	5	9	55.56
A2O.68	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.22	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.15	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.59	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.19	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.145	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
A2O.34	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9	9	100
A2O.155	M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	7	9	77.78
AO.75	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.129	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.138	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	6	7	85.71
A2O.116	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.95	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.39	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
AO.97	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.43	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
AO.62	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.52	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.131	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.62	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.76	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.85	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
AO.52	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.79	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	6	7	85.71
AO.7	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.3	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.126	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
AO.93	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
AO.76	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
AO.30	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.113	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.81	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.114	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.16	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
AO.50	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.135	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.11	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
AO.43	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.97	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.32	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.94	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
AO.58	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.87	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
AO.10	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
AO.9	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.14	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
AO.22	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
AO.99	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.117	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.38	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.26	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	6	7	85.71
A2O.128	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.27	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.88	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.99	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.86	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
A2O.92	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
AO.56	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
AO.14	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
AO.66	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.139	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
A2O.70	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	4	7	57.14
AO.46	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
AO.28	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	6	7	85.71
AO.21	M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	5	7	71.43
