node	description	type	module	module_descr	pathway	pathway_descr	node_type
C02470	Xanthurenic acid	NA	NA	NA	NA	NA	compound
C05830	8-Methoxykynurenate	NA	NA	NA	NA	NA	compound
R04673	(S)-2-Aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating)	NA	NA	NA	NA	NA	reaction
C06006	(S)-2-Aceto-2-hydroxybutanoate	NA	NA	NA	NA	NA	compound
R08805	p-coumaroyl-CoA:malonyl-CoA C-coumaroyltransferase (decarboxylating)	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C17740	p-Coumaroyl-diketide-CoA	NA	NA	NA	NA	NA	compound
C02338	beta-L-Rhamnose	NA	NA	NA	NA	NA	compound
R10819	L-rhamnopyranose 1-epimerase	NA	NA	NA	NA	NA	reaction
C02476	alpha-L-Rhamnose	NA	NA	NA	NA	NA	compound
R10812	S-adenosyl-L-methionine:5'-(N7-methyl 5'-triphosphoguanosine)-(2'-O-methyl-purine-ribonucleotide)-ribonucleotide-[mRNA] 2'-O-methyltransferase	NA	NA	NA	NA	NA	reaction
C20862	5'-(N7-Methyl 5'-triphosphoguanosine)-(2'-O-methyl-purine-ribonucleotide)-(2'-O-methyl-ribonucleotide)-[mRNA]	NA	NA	NA	NA	NA	compound
R10810	beta-1,4-mannobiose 2-epimerase	NA	NA	NA	NA	NA	reaction
C20861	Mannobiose	NA	NA	NA	NA	NA	compound
R10811	1,4-beta-D-mannooligosaccharide:phosphate alpha-D-mannosyltransferase	NA	NA	NA	NA	NA	reaction
C17207	1,4-beta-D-Mannooligosaccharide	NA	NA	NA	NA	NA	compound
R10816	5'-triphospho-[mRNA] diphosphatase	NA	NA	NA	NA	NA	reaction
C20863	5'-Phospho-[mRNA]	NA	NA	NA	NA	NA	compound
C20864	5'-Triphospho-[mRNA]	NA	NA	NA	NA	NA	compound
R10817	D-psicose 3-epimerase	NA	NA	NA	NA	NA	reaction
C06468	D-Psicose	Carbohydrates	NA	NA	NA	NA	compound
R10814	5'-triphospho-[mRNA] phosphohydrolase	NA	NA	NA	NA	NA	reaction
R10815	5'-(N7-methylguanosine 5'-triphospho)-[mRNA] N7-methylguanosine-5'-diphosphate phosphohydrolase	NA	NA	NA	NA	NA	reaction
C20183	N7-Methylguanosine 5'-diphosphate	NA	NA	NA	NA	NA	compound
R06364	CDPethanolamine:1-alkyl-2-acylglycerol ethanolaminephosphotransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
C00570	CDP-ethanolamine	NA	NA	NA	NA	NA	compound
C03201	1-Alkyl-2-acylglycerol	NA	NA	NA	NA	NA	compound
C04475	1-Alkyl-2-acylglycerophosphoethanolamine	NA	NA	NA	NA	NA	compound
R08806	feruloyl-CoA:malonyl-CoA C-feruloyltransferase (decarboxylating)	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C17741	Feruloyl-diketide-CoA	NA	NA	NA	NA	NA	compound
R00259	acetyl-CoA:L-glutamate N-acetyltransferase	NA	M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	map01100	Metabolic pathways	reaction
R00258	L-Alanine:2-oxoglutarate aminotransferase	NA	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	map01100	Metabolic pathways	reaction
R00257	Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)	NA	M00115	NAD biosynthesis, aspartate => NAD	map01100	Metabolic pathways	reaction
R00256	L-glutamine amidohydrolase	NA	NA	NA	map01100	Metabolic pathways	reaction
R00251	5-oxo-L-proline amidohydrolase (ATP-hydrolysing)	NA	NA	NA	map01100	Metabolic pathways	reaction
C01879	5-Oxoproline	Peptides	NA	NA	NA	NA	compound
R00253	L-Glutamate:ammonia ligase (ADP-forming)	NA	NA	NA	map01100	Metabolic pathways	reaction
R08008	2',4,4',6'-tetrahydroxychalcone 4'-O-glucoside:oxygen oxidoreductase	NA	NA	NA	map00941	Flavonoid biosynthesis	reaction
C16407	2',4,4',6'-Tetrahydroxychalcone 4'-O-glucoside	NA	NA	NA	NA	NA	compound
C16409	Aureusidin 6-O-glucoside	NA	NA	NA	NA	NA	compound
R08009	2',3,4,4',6'-peptahydroxychalcone 4'-O-glucoside:oxygen oxidoreductase	NA	NA	NA	map00941	Flavonoid biosynthesis	reaction
C16408	2',3,4,4',6'-Peptahydroxychalcone 4'-O-glucoside	NA	NA	NA	NA	NA	compound
C16410	Bracteatin 6-O-glucoside	NA	NA	NA	NA	NA	compound
R03784	pregnenolone,NADPH-hemoprotein reductase:oxygen oxidoreductase (21-hydroxylating)	NA	NA	NA	map00140	Steroid hormone biosynthesis	reaction
C01953	Pregnenolone	Steroids,Hormones and transmitters	NA	NA	NA	NA	compound
C05485	21-Hydroxypregnenolone	NA	NA	NA	NA	NA	compound
R08002	liquiritigenin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating)	NA	NA	NA	map00941	Flavonoid biosynthesis	reaction
C09614	Butin	NA	NA	NA	NA	NA	compound
R08004	S-adenosyl-L-methionine:desmethylxanthohumol 6'-O-methyltransferase	NA	NA	NA	map00941	Flavonoid biosynthesis	reaction
C16416	Desmethylxanthohumol	NA	NA	NA	NA	NA	compound
R04247	CTP:ethanolamine-phosphate cytidylyltransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
C05673	CMP-2-aminoethylphosphonate	NA	NA	NA	NA	NA	compound
R00787	ammonia:NAD+ oxidoreductase	NA	M00530	Dissimilatory nitrate reduction, nitrate => ammonia	map01120	Microbial metabolism in diverse environments	reaction
R02112	1,4-alpha-D-Glucan maltohydrolase	NA	NA	NA	map01100	Metabolic pathways	reaction
C00369	Starch	NA	NA	NA	NA	NA	compound
C00721	Dextrin	NA	NA	NA	NA	NA	compound
R00785	nitric-oxide:oxidized azurin oxidoreductase	NA	M00529	Denitrification, nitrate => nitrogen	map01120	Microbial metabolism in diverse environments	reaction
C05357	Oxidized azurin	NA	NA	NA	NA	NA	compound
C05358	Reduced azurin	NA	NA	NA	NA	NA	compound
R00783	nitric-oxide:ferricytochrome-c oxidoreductase	NA	M00529	Denitrification, nitrate => nitrogen	map01120	Microbial metabolism in diverse environments	reaction
R00782	L-cysteine hydrogen-sulfide-lyase (deaminating	NA	NA	NA	map01100	Metabolic pathways	reaction
R00789	ammonia:NADP+ oxidoreductase	NA	M00530	Dissimilatory nitrate reduction, nitrate => ammonia	map01120	Microbial metabolism in diverse environments	reaction
R07944	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6'''-O-hydroxycinnamoyltransferase	NA	NA	NA	map00942	Anthocyanin biosynthesis	reaction
R07945	1,7-Dimethylxanthine <=> 1,7-Dimethyluric acid	NA	NA	NA	map01100	Metabolic pathways	reaction
C16356	1,7-Dimethyluric acid	NA	NA	NA	NA	NA	compound
R07946	(R,S)-Nicotine + Acceptor + H2O <=> (R)-6-Hydroxynicotine + Reduced acceptor	NA	M00810	Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde	map01120	Microbial metabolism in diverse environments	reaction
C03043	(R)-6-Hydroxynicotine	NA	NA	NA	NA	NA	compound
C16150	(R,S)-Nicotine	NA	NA	NA	NA	NA	compound
R06366	Aldehyde:NAD+ oxidoreductase	NA	NA	NA	map00903	Limonene and pinene degradation	reaction
C02576	Perillyl aldehyde	NA	NA	NA	NA	NA	compound
C11924	Perillic acid	NA	NA	NA	NA	NA	compound
R07415	gamma-L-Glutamylputrescine + H2O + Oxygen <=> gamma-Glutamyl-gamma-aminobutyraldehyde + Ammonia + Hydrogen peroxide	NA	M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	map01100	Metabolic pathways	reaction
C15699	gamma-L-Glutamylputrescine	NA	NA	NA	NA	NA	compound
C15700	gamma-Glutamyl-gamma-aminobutyraldehyde	NA	NA	NA	NA	NA	compound
R06363	Penicillin hydrolase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C00395	Penicillin	NA	NA	NA	NA	NA	compound
C06567	Penicilloic acid	NA	NA	NA	NA	NA	compound
R06361	Acyl-CoA:isopenicillin N N-acyltransferase	NA	M00672	Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin	map01100	Metabolic pathways	reaction
C05557	Isopenicillin N	NA	NA	NA	NA	NA	compound
R03783	pregnenolone,NADPH-hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating)	NA	M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	map01100	Metabolic pathways	reaction
C05138	17alpha-Hydroxypregnenolone	Hormones and transmitters	NA	NA	NA	NA	compound
R01322	Citrate:CoA ligase (ADP-forming)	NA	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	reaction
C00158	Citrate	Organic acids	NA	NA	NA	NA	compound
C00566	(3S)-Citryl-CoA	NA	NA	NA	NA	NA	compound
R01320	S-adenosyl-L-methionine:phosphatidyl-N-dimethylethanolamine N-methyltransferase	NA	M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	map01100	Metabolic pathways	reaction
C04308	Phosphatidyl-N-dimethylethanolamine	NA	NA	NA	NA	NA	compound
R01321	CDP-choline:1,2-diacyl-sn-glycerol cholinephosphotransferase	NA	M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC	map01100	Metabolic pathways	reaction
R01326	ATP:D-mannose 6-phosphotransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
C00275	D-Mannose 6-phosphate	NA	NA	NA	NA	NA	compound
R07942	1-methylxanthine:oxygen oxidoreductase	NA	NA	NA	map00232	Caffeine metabolism	reaction
C16359	1-Methyluric acid	NA	NA	NA	NA	NA	compound
R01324	citrate hydroxymutase	NA	M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01100	Metabolic pathways	reaction
R01325	citrate hydro-lyase (cis-aconitate-forming)	NA	M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01100	Metabolic pathways	reaction
C00417	cis-Aconitate	Organic acids	NA	NA	NA	NA	compound
R01329	Epimelibiose galactohydrolase	NA	NA	NA	map00052	Galactose metabolism	reaction
C05400	Epimelibiose	NA	NA	NA	NA	NA	compound
R07417	4-(gamma-L-glutamylamino)butanal:NAD+ oxidoreductase	NA	M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	map01100	Metabolic pathways	reaction
C15767	4-(L-gamma-Glutamylamino)butanoate	NA	NA	NA	NA	NA	compound
R07414	glutamate putrescine ligase	NA	M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	map01100	Metabolic pathways	reaction
R07940	1,7-Dimethylxanthine <=> 5-Acetylamino-6-formylamino-3-methyluracil	NA	NA	NA	map01100	Metabolic pathways	reaction
C16365	5-Acetylamino-6-formylamino-3-methyluracil	NA	NA	NA	NA	NA	compound
R07413	Digalacturonate + H2O <=> 2 D-Galacturonate	NA	M00081	Pectin degradation	map01100	Metabolic pathways	reaction
C00333	D-Galacturonate	Carbohydrates	NA	NA	NA	NA	compound
C02273	Digalacturonate	NA	NA	NA	NA	NA	compound
R07410	L-aspartate:NAD+ oxidoreductase (deaminating)	NA	NA	NA	map01100	Metabolic pathways	reaction
C05840	Iminoaspartate	NA	NA	NA	NA	NA	compound
R07411	(2E,6E)-farnesyl-diphosphate:protoheme IX farnesyltranstransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
C15672	Heme O	Vitamins and Cofactors	NA	NA	NA	NA	compound
R07418	4-(gamma-L-glutamylamino)butanal:NADP+ oxidoreductase	NA	M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	map01100	Metabolic pathways	reaction
R07419	4-(gamma-L-glutamylamino)butanoate amidohydrolase	NA	M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	map01100	Metabolic pathways	reaction
R03254	phosphoenolpyruvate:D-arabinose-5-phosphate C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming)	NA	M00063	CMP-KDO biosynthesis	map01100	Metabolic pathways	reaction
C01112	D-Arabinose 5-phosphate	NA	NA	NA	NA	NA	compound
R03256	Lactose 6-phosphate 6-phosphogalactohydrolase	NA	NA	NA	map01100	Metabolic pathways	reaction
C01113	D-Galactose 6-phosphate	NA	NA	NA	NA	NA	compound
C05396	Lactose 6'-phosphate	NA	NA	NA	NA	NA	compound
R06411	3-hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA hydro-lyase	NA	NA	NA	map00903	Limonene and pinene degradation	reaction
C11946	cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA	NA	NA	NA	NA	NA	compound
C11947	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA	NA	NA	NA	NA	NA	compound
R06091	Melibiose + H2O <=> D-Galactose + D-Glucose	NA	NA	NA	NA	NA	reaction
R06412	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase	NA	NA	NA	map00903	Limonene and pinene degradation	reaction
C11945	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA	NA	NA	NA	NA	NA	compound
R04905	S-Adenosyl-L-methionine:N-acetylserotonin O-methyltransferase	NA	NA	NA	map00380	Tryptophan metabolism	reaction
C05635	5-Hydroxyindoleacetate	NA	NA	NA	NA	NA	compound
C05660	5-Methoxyindoleacetate	NA	NA	NA	NA	NA	compound
R04904	5-hydroxyindoleacetaldehyde:oxygen oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
C05634	5-Hydroxyindoleacetaldehyde	NA	NA	NA	NA	NA	compound
R04901	(2S)-flavan-4-ol:NADP+ 4-oxidoreductase	NA	NA	NA	map00941	Flavonoid biosynthesis	reaction
C05907	Luteoforol	NA	NA	NA	NA	NA	compound
R00905	3-ureidopropanoate amidohydrolase	NA	M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	map01100	Metabolic pathways	reaction
C00099	beta-Alanine	Peptides,Peptides	NA	NA	NA	NA	compound
C02642	3-Ureidopropionate	NA	NA	NA	NA	NA	compound
C00876	Coenzyme F420	NA	NA	NA	NA	NA	compound
R04456	5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase	NA	M00567	Methanogenesis, CO2 => methane	map01100	Metabolic pathways	reaction
C01080	Reduced coenzyme F420	NA	NA	NA	NA	NA	compound
C04377	5,10-Methylenetetrahydromethanopterin	NA	NA	NA	NA	NA	compound
R04455	hydrogen:N5,N10-methenyltetraydromethanopterin oxidoreductase	NA	M00567	Methanogenesis, CO2 => methane	map01200	Carbon metabolism	reaction
C00282	Hydrogen	NA	NA	NA	NA	NA	compound
R02125	retinal:oxygen oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
C00376	Retinal	NA	NA	NA	NA	NA	compound
C00777	Retinoate	NA	NA	NA	NA	NA	compound
R02124	retinol:NAD+ oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
R04809	(24R,25R)-3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA hydro-lyase [(24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA-forming]	NA	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	map01100	Metabolic pathways	reaction
C05447	(24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA	NA	NA	NA	NA	NA	compound
C05448	(24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA	NA	NA	NA	NA	NA	compound
R02123	retinal:NAD+ oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
C05437	Zymosterol	NA	NA	NA	NA	NA	compound
R04804	delta8,24-Cholestadien-3beta-ol delta7-delta8-isomerase	NA	NA	NA	map01100	Metabolic pathways	reaction
C05439	5alpha-Cholesta-7,24-dien-3beta-ol	NA	NA	NA	NA	NA	compound
R04805	3alpha,7alpha,26-Trihydroxy-5beta-cholestane + NAD+ <=> 3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al + NADH + H+	NA	NA	NA	NA	NA	reaction
C05444	3alpha,7alpha,26-Trihydroxy-5beta-cholestane	NA	NA	NA	NA	NA	compound
C05445	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	NA	NA	NA	NA	NA	compound
R04806	3alpha,7alpha-Dihydroxy-5beta-cholestane + Oxygen + 2 H+ + 2 Reduced adrenal ferredoxin <=> 3alpha,7alpha,26-Trihydroxy-5beta-cholestane + H2O + 2 Oxidized adrenal ferredoxin	NA	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	map01100	Metabolic pathways	reaction
R04807	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane + Oxygen + 2 H+ + 2 Reduced adrenal ferredoxin <=> 3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane + H2O + 2 Oxidized adrenal ferredoxin	NA	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	map01100	Metabolic pathways	reaction
R04800	Neurosporene, hydrogen-donor:oxygen oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
C05431	all-trans-Neurosporene	NA	NA	NA	NA	NA	compound
R10661	L-Tryptophan + L-Proline + 2 ATP <=> Brevianamide F + 2 AMP + 2 Diphosphate	NA	M00786	Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A	map01130	Biosynthesis of antibiotics	reaction
C00148	L-Proline	Peptides	NA	NA	NA	NA	compound
R10660	fumarate CoM:CoB oxidoreductase (succinate forming)	NA	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map01120	Microbial metabolism in diverse environments	reaction
C03576	Coenzyme M	Vitamins and Cofactors	NA	NA	NA	NA	compound
C04628	Coenzyme B	Vitamins and Cofactors	NA	NA	NA	NA	compound
C04832	Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide	NA	NA	NA	NA	NA	compound
R10667	S-adenosyl-L-methionine:3-[(1-carboxyvinyl)-oxy]benzoate adenosyltransferase (bicarbonate-hydrolysing, 6-amino-6-deoxyfutalosine-forming)	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C20772	3-[(1-Carboxyvinyl)oxy]benzoate	NA	NA	NA	NA	NA	compound
C20773	6-Amino-6-deoxyfutalosine	NA	NA	NA	NA	NA	compound
R10666	chorismate hydro-lyase (3-[(1-carboxyvinyl)oxy]benzoate-forming)	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
R10669	6-deoxocastasterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (castasterone-forming)	NA	NA	NA	NA	NA	reaction
C15794	Castasterone	NA	NA	NA	NA	NA	compound
R10668	6-amino-6-deoxyfutalosine ribohydrolase	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C17010	Dehypoxanthine futalosine	NA	NA	NA	NA	NA	compound
R09328	nogalaviketone lyase (ring-opening)	NA	M00781	Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone	map01130	Biosynthesis of antibiotics	reaction
C18630	Nogalaviketone	NA	NA	NA	NA	NA	compound
R09329	nogalavinone:NADP+ 7-oxidoreductase	NA	M00781	Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone	map01130	Biosynthesis of antibiotics	reaction
C18631	Nogalavinone	NA	NA	NA	NA	NA	compound
R05316	benzoyl-CoA:acceptor oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
R05314	1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate:NAD+ oxidoreductase (decarboxylating)	NA	M00551	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	map01100	Metabolic pathways	reaction
C06731	1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate	NA	NA	NA	NA	NA	compound
R09327	deoxynogalonate:oxygen oxidoreductase	NA	M00781	Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone	map01130	Biosynthesis of antibiotics	reaction
C18629	Deoxynogalonate	NA	NA	NA	NA	NA	compound
R05311	pimeloyl-CoA:NAD+ oxidoreductase	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C06723	6-Carboxyhex-2-enoyl-CoA	NA	NA	NA	NA	NA	compound
C13431	9'-cis-Neoxanthin	NA	NA	NA	NA	NA	compound
R06951	violaxanthin-neoxanthin isomerase (epoxide-opening)	NA	NA	NA	map01100	Metabolic pathways	reaction
C13433	9-cis-Violaxanthin	NA	NA	NA	NA	NA	compound
R06952	9'-cis-Neoxanthin:9-cis-epoxycarotenoid dioxygenase	NA	M00372	Abscisic acid biosynthesis, beta-carotene => abscisic acid	map01100	Metabolic pathways	reaction
C13453	Xanthoxin	NA	NA	NA	NA	NA	compound
C14044	C25-Allenic-apo-aldehyde	NA	NA	NA	NA	NA	compound
R01844	ATP:sedoheptulose 7-phosphate	NA	NA	NA	map00710	Carbon fixation in photosynthetic organisms	reaction
C02076	Sedoheptulose	Carbohydrates	NA	NA	NA	NA	compound
C05382	Sedoheptulose 7-phosphate	NA	NA	NA	NA	NA	compound
R06954	xanthoxin:NAD+ oxidoreductase	NA	M00372	Abscisic acid biosynthesis, beta-carotene => abscisic acid	map01100	Metabolic pathways	reaction
C13455	Abscisic aldehyde	NA	NA	NA	NA	NA	compound
R06957	abscisic-aldehyde:oxygen oxidoreductase	NA	M00372	Abscisic acid biosynthesis, beta-carotene => abscisic acid	map01100	Metabolic pathways	reaction
C06082	Abscisate	NA	NA	NA	NA	NA	compound
R10488	(2S)-2-amino-3-[(carbamoylamino)oxy]propanoate 2-epimerase	NA	M00785	Cycloserine biosynthesis, arginine/serine => cycloserine	map01130	Biosynthesis of antibiotics	reaction
C20651	O-Ureido-D-serine	NA	NA	NA	NA	NA	compound
R10485	malonyl-CoA:(S)-1-pyrroline-5-carboxylate malonyltransferase (cyclizing)	NA	M00675	Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate	map01130	Biosynthesis of antibiotics	reaction
C17366	(2S,5S)-trans-Carboxymethylproline	NA	NA	NA	NA	NA	compound
R10486	maltose 6'-phosphate phosphohydrolase	NA	NA	NA	map00500	Starch and sucrose metabolism	reaction
C02995	Maltose 6'-phosphate	NA	NA	NA	NA	NA	compound
R08782	all-trans-nonaprenyl-diphosphate:homogentisate nonaprenyltransferase (decarboxylating)	NA	NA	NA	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	reaction
R11280	paromamine:5-phospho-alpha-D-ribose-1-diphosphate phosphoribosyltransferase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C21260	5''-Phosphoribosylparomamine	NA	NA	NA	NA	NA	compound
R11281	5''-phosphoribosylparomamine phosphohydrolase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C18002	5-Ribosylparomamine	NA	NA	NA	NA	NA	compound
R11282	UDP-N-acetyl-alpha-D-glucosamine:5-ribosylparomamine N-acetyl-D-glucosaminyltransferase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C00043	UDP-N-acetyl-alpha-D-glucosamine	NA	NA	NA	NA	NA	compound
C21261	2'''-N-Acetyl-6'''-deamino-6'''-hydroxyparomomycin II	NA	NA	NA	NA	NA	compound
R11283	2'''-N-acetyl-6'''-deamino-6'''-hydroxyparomomycin-II hydrolase (acetate-forming)	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C21262	6'''-Deamino-6'''-hydroxyparomomycin II	NA	NA	NA	NA	NA	compound
R11284	6'''-deamino-6'''-hydroxyparomomycin-II:oxygen 6'''-oxidoreductase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C21263	6'''-Deamino-6'''-oxoparomomycin II	NA	NA	NA	NA	NA	compound
R11285	paromomycin-II:2-oxoglutarate aminotransferase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C17712	Paromomycin II	NA	NA	NA	NA	NA	compound
R11538	ATP + 19-(4-Hydroxyphenyl)nonadecanoate <=> Diphosphate + 19-(4-Hydroxyphenyl)nonadecanoyl adenylate	NA	NA	NA	NA	NA	reaction
C21447	19-(4-Hydroxyphenyl)nonadecanoyl adenylate	NA	NA	NA	NA	NA	compound
R11539	lithocholoyl-CoA:cholate CoA-transferase	NA	NA	NA	NA	NA	reaction
C01794	Choloyl-CoA	NA	NA	NA	NA	NA	compound
C03990	Lithocholic acid	Steroids	NA	NA	NA	NA	compound
C21449	Lithocholoyl-CoA	NA	NA	NA	NA	NA	compound
R11536	ATP:erythritol 1-phosphotransferase	NA	NA	NA	NA	NA	reaction
C00503	Erythritol	NA	NA	NA	NA	NA	compound
C21294	D-Erythritol 1-phosphate	NA	NA	NA	NA	NA	compound
R11537	ATP + 17-(4-Hydroxyphenyl)heptadecanoate <=> Diphosphate + 17-(4-Hydroxyphenyl)heptadecanoyl adenylate	NA	NA	NA	NA	NA	reaction
R11534	S-adenosyl-L-methionine:N-demethylindolmycin N-methyltransferase	NA	NA	NA	NA	NA	reaction
C21443	N-Demethylindolmycin	NA	NA	NA	NA	NA	compound
C21444	Indolmycin	NA	NA	NA	NA	NA	compound
R11535	ADP:alpha-D-ribose-1-phosphate 5-phosphotransferase	NA	NA	NA	NA	NA	reaction
R11532	2-aminomuconate aminohydrolase (2-hydroxymuconate-forming)	NA	NA	NA	NA	NA	reaction
C02220	2-Aminomuconate	NA	NA	NA	NA	NA	compound
C02501	2-Hydroxymuconate	NA	NA	NA	NA	NA	compound
R11533	S-adenosyl-L-methionine:phenazine-1-carboxylate 5-methyltransferase	NA	M00835	Pyocyanine biosynthesis, chorismate => pyocyanine	map01130	Biosynthesis of antibiotics	reaction
C21295	5-Methylphenazine-1-carboxylate	NA	NA	NA	NA	NA	compound
C21442	Phenazine-1-carboxylate	NA	NA	NA	NA	NA	compound
R11530	ADP-alpha-D-glucose:alpha-D-glucose-1-phosphate 4-alpha-D-glucosyltransferase (configuration-retaining)	NA	NA	NA	map01100	Metabolic pathways	reaction
R04378	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	NA	NA	NA	map00230	Purine metabolism	reaction
C04051	5-Amino-4-imidazolecarboxyamide	NA	NA	NA	NA	NA	compound
C04052	5-Carboxy-2-oxohept-3-enedioate	NA	NA	NA	NA	NA	compound
R04379	5-Carboxymethyl-2-hydroxymuconate delta2,delta4-2-oxo,delta3-isomerase	NA	M00533	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	map01120	Microbial metabolism in diverse environments	reaction
C04186	5-Carboxymethyl-2-hydroxymuconate	NA	NA	NA	NA	NA	compound
R04372	D-myo-Inositol-3,4-bisphosphate 4-phosphohydrolase	NA	M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	map01100	Metabolic pathways	reaction
C04063	D-myo-Inositol 3,4-bisphosphate	NA	NA	NA	NA	NA	compound
R04371	Homoisocitrate hydro-lyase	NA	M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	map01100	Metabolic pathways	reaction
C04002	(Z)-But-1-ene-1,2,4-tricarboxylate	NA	NA	NA	NA	NA	compound
R03416	1-Acyl-sn-glycero-3-phosphoethanolamine aldehydohydrolase	NA	NA	NA	map00564	Glycerophospholipid metabolism	reaction
C01233	sn-Glycero-3-phosphoethanolamine	NA	NA	NA	NA	NA	compound
C04438	1-Acyl-sn-glycero-3-phosphoethanolamine	NA	NA	NA	NA	NA	compound
R03417	L-2-Lysophosphatidylethanolamine aldehydohydrolase	NA	NA	NA	map00564	Glycerophospholipid metabolism	reaction
